model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,source_file
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,2024,tatoeba,1000,2.53,24.75,22.17,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,42,combined,1455,21.37,37.95,36.27,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,42,structured,455,84.63,90.61,90.33,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,42,tatoeba,1000,3.03,25.15,22.67,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,456,combined,1455,21.72,38.15,36.52,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,456,structured,455,84.54,91.95,91.43,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,456,tatoeba,1000,3.36,25.04,22.66,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,789,combined,1455,22.01,38.26,36.55,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,789,structured,455,87.06,92.73,92.22,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-10K_STRUCTURED-4K,789,tatoeba,1000,2.99,24.97,22.49,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-10K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,123,combined,1455,2.18,23.21,20.62,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,123,structured,455,2.07,28.46,24.64,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,123,tatoeba,1000,2.09,21.84,19.57,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,2024,combined,1455,2.32,22.86,20.36,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,2024,structured,455,2.99,28.06,24.62,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,2024,tatoeba,1000,2.14,21.56,19.28,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,42,combined,1455,1.92,22.52,19.9,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,42,structured,455,1.9,27.04,23.78,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,42,tatoeba,1000,1.88,21.36,18.89,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,456,combined,1455,1.79,23.3,20.73,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,456,structured,455,1.19,27.37,23.6,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,456,tatoeba,1000,1.92,22.25,19.99,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,789,combined,1455,2.1,23.2,20.71,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,789,structured,455,2.16,28.36,24.88,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-4K,789,tatoeba,1000,2.01,21.88,19.64,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,123,combined,1455,21.54,37.13,35.31,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,123,structured,455,86.87,92.61,91.97,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,123,tatoeba,1000,2.46,23.59,20.96,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed123/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,2024,combined,1455,20.77,36.54,35.05,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,2024,structured,455,81.53,89.89,88.93,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,2024,tatoeba,1000,2.9,23.26,21.25,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed2024/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,42,combined,1455,20.86,36.88,35.2,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,42,structured,455,84.32,89.79,89.29,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,42,tatoeba,1000,2.41,24.02,21.59,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed42/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,456,combined,1455,21.1,37.09,35.47,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,456,structured,455,83.94,91.56,90.86,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,456,tatoeba,1000,2.41,23.71,21.42,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed456/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,789,combined,1455,20.68,37.16,35.39,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,789,structured,455,83.43,90.42,89.92,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,RANDOM-6K_STRUCTURED-4K,789,tatoeba,1000,2.68,24.29,21.75,experiments/results/rebuttal_rerun/mbart-fr/exp1/RANDOM-6K_STRUCTURED-4K/seed789/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,123,combined,1455,19.71,26.57,25.94,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed123/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,123,structured,455,85.79,92.03,91.46,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed123/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,123,tatoeba,1000,0.24,9.04,7.98,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed123/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,2024,combined,1455,20.36,26.07,25.69,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed2024/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,2024,structured,455,86.82,91.5,91.45,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed2024/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,2024,tatoeba,1000,0.32,8.35,7.43,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed2024/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,42,combined,1455,19.91,26.63,26.04,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,42,structured,455,85.04,91.75,91.36,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,42,tatoeba,1000,0.24,9.19,8.08,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,456,combined,1455,19.72,25.7,25.22,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed456/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,456,structured,455,84.45,90.09,89.65,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed456/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,456,tatoeba,1000,0.31,8.41,7.47,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed456/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,789,combined,1455,20.27,26.29,25.83,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed789/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,789,structured,455,86.43,91.51,91.32,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed789/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-2K,789,tatoeba,1000,0.24,8.73,7.73,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-2K/seed789/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,123,combined,1455,20.94,26.28,25.95,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed123/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,123,structured,455,89.33,92.91,92.9,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed123/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,123,tatoeba,1000,0.34,8.09,7.22,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed123/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,2024,combined,1455,19.79,26.05,25.52,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed2024/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,2024,structured,455,84.5,91.17,90.64,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed2024/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,2024,tatoeba,1000,0.32,8.41,7.42,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed2024/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,42,combined,1455,20.3,26.38,25.9,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed42/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,42,structured,455,87.67,92.07,91.83,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed42/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,42,tatoeba,1000,0.34,8.9,7.93,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed42/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,456,combined,1455,19.94,26.66,26.04,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed456/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,456,structured,455,86.46,92.1,91.92,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed456/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,456,tatoeba,1000,0.26,9.3,8.06,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed456/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,789,combined,1455,21.11,26.76,26.36,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed789/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,789,structured,455,89.7,93.94,93.78,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed789/test_predictions.jsonl
mbart-fr,exp1,STRUCTURED-4K-ONLY,789,tatoeba,1000,0.17,8.58,7.66,experiments/results/rebuttal_rerun/mbart-fr/exp1/STRUCTURED-4K-ONLY/seed789/test_predictions.jsonl
nllb-1.3b,exp1,STRUCTURED-2K,42,combined,1455,21.36,29.06,28.43,experiments/results/rebuttal_rerun/nllb-1.3b/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
nllb-1.3b,exp1,STRUCTURED-2K,42,structured,455,91.44,95.85,95.65,experiments/results/rebuttal_rerun/nllb-1.3b/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
nllb-1.3b,exp1,STRUCTURED-2K,42,tatoeba,1000,0.5,11.6,10.43,experiments/results/rebuttal_rerun/nllb-1.3b/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,123,combined,1455,4.08,29.58,26.66,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,123,structured,455,4.97,35.54,31.64,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,123,tatoeba,1000,3.88,28.07,25.39,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,2024,combined,1455,4.15,30.75,27.44,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,2024,structured,455,2.36,34.97,30.39,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,2024,tatoeba,1000,4.51,29.66,26.69,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,42,combined,1455,3.79,28.89,26.04,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,42,structured,455,4.17,33.93,30.35,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,42,tatoeba,1000,3.65,27.54,24.87,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,456,combined,1455,3.85,28.79,26.18,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,456,structured,455,3.77,33.21,30.17,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,456,tatoeba,1000,3.82,27.67,25.14,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,789,combined,1455,3.6,29.66,26.53,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed789/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,789,structured,455,2.62,31.35,28.03,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed789/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K,789,tatoeba,1000,3.94,29.2,26.12,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K/seed789/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,123,combined,1455,23.76,42.53,40.28,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,123,structured,455,92.8,95.78,95.6,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,123,tatoeba,1000,3.94,29.75,26.47,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,2024,combined,1455,24.1,42.17,40.02,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,2024,structured,455,92.32,95.69,95.51,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,2024,tatoeba,1000,4.36,29.18,26.03,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,42,combined,1455,23.4,42.43,40.29,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,42,structured,455,91.22,95.54,95.07,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,42,tatoeba,1000,4.07,29.66,26.64,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,456,combined,1455,22.96,41.46,39.66,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,456,structured,455,91.61,95.1,94.89,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,456,tatoeba,1000,4.47,28.74,26.07,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,789,combined,1455,21.04,39.37,37.51,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed789/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,789,structured,455,84.89,91.35,90.87,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed789/test_predictions.jsonl
nllb-600m,exp1,RANDOM-10K_STRUCTURED-4K,789,tatoeba,1000,3.16,27.02,24.36,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-10K_STRUCTURED-4K/seed789/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,123,combined,1455,3.37,28.4,25.36,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,123,structured,455,4.11,33.92,29.77,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,123,tatoeba,1000,3.2,27.01,24.25,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,2024,combined,1455,3.56,28.5,25.56,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,2024,structured,455,3.59,33.62,29.77,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,2024,tatoeba,1000,3.5,27.22,24.49,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,42,combined,1455,3.6,28.58,25.46,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,42,structured,455,3.9,33.88,29.73,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,42,tatoeba,1000,3.53,27.26,24.39,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,456,combined,1455,3.86,28.92,25.81,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,456,structured,455,4.34,34.55,30.38,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,456,tatoeba,1000,3.69,27.5,24.65,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,789,combined,1455,3.8,28.96,26.0,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed789/test_predictions.jsonl
nllb-600m,exp1,RANDOM-4K,789,structured,455,3.77,33.81,29.99,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed789/test_predictions.jsonl
